date,open,high,low,close,volume,MACD,Signal,Hist,RSI,CMF
2006-09-20,407.1,407.39,394.62,397.0,18277300.0,-14.526696915056732,-15.559806979668123,1.0331100646113907,25.475599669148096,-0.04425057232580573
2006-09-19,415.46,415.49,392.74,403.81,28557200.0,-13.77128126139462,-15.202101836013423,1.430820574618803,30.596210137112934,-0.04885875822969382
2006-09-18,410.0,418.69,409.47,414.69,14199100.0,-12.154573484179082,-14.592596165646556,2.4380226814674746,45.682865210283836,-0.011277380476159447
2006-09-15,407.48,410.05,406.74,409.88,15660700.0,-11.133112137538035,-13.900699360024852,2.767587222486817,48.478158019239864,0.043974999112599195
2006-09-14,404.3,406.28,401.93,403.98,10721400.0,-10.676604106551054,-13.255880309330093,2.57927620277904,41.042494649954165,0.034037606327526934
2006-09-13,395.15,406.76,395.1,406.57,19516800.0,-9.990660730631873,-12.60283639359045,2.6121756629585775,52.244897959183646,0.10468496154108985
2006-09-12,385.0,392.73,384.88,391.9,10873500.0,-10.509643433480107,-12.184197801568383,1.674554368088275,43.02835428237356,0.17183841870269112
2006-09-11,378.26,384.69,377.77,384.09,9049300.0,-11.41950573988845,-12.031259389232398,0.6117536493439477,38.247327438300125,0.1863468733915204
2006-09-08,376.72,380.79,376.72,377.85,6160600.0,-12.500001783485914,-12.125007868083102,-0.37499391540281124,33.98481264782774,0.13810554747184162
2006-09-07,379.39,381.75,377.4,378.49,7676300.0,-13.153039973957164,-12.330614289257916,-0.8224256846992475,34.79018802141701,0.15900776930165073
2006-09-06,382.1,383.19,379.66,380.14,7440700.0,-13.383163456816874,-12.541124122769709,-0.8420393340471648,32.86758107934878,0.08773119052391307
2006-09-05,379.87,385.4,377.44,384.36,8140400.0,-13.074306772939792,-12.647760652803726,-0.4265461201360665,37.635492815729776,0.09479182304485351
2006-09-01,380.995,381.28,377.19,378.6,5340400.0,-13.142817271065269,-12.746771976456035,-0.3960452946092339,35.17078916372205,0.11137556721947096
2006-08-31,381.4941,382.15,378.2,378.53,5913800.0,-13.052301937447737,-12.807877968654376,-0.24442396879336137,32.71062271062267,0.11231577841152177
2006-08-30,379.21,384.65,378.51,380.75,8080700.0,-12.655547166807764,-12.777411808285056,0.12186464147729126,39.060185808536424,0.10658445962878554
2006-08-29,380.78,382.32,377.2,378.95,8911000.0,-12.344066395886955,-12.690742725805437,0.3466763299184823,32.05313312157088,0.13931755078468347
2006-08-28,375.61,380.95,375.0,380.95,8319600.0,-11.79981147398729,-12.512556475441809,0.7127450014545182,22.06028486253726,0.1434099858754226
2006-08-25,373.08,375.32,372.5,373.26,4928400.0,-11.852377430060415,-12.38052066636553,0.528143236305116,21.055959532089773,0.16637715180416196
2006-08-24,374.44,376.4,372.26,373.73,6958000.0,-11.720998877923194,-12.248616308677065,0.527617430753871,23.84575479854749,0.1676065722535258
2006-08-23,377.64,378.27,372.66,373.43,7277300.0,-11.508425951001811,-12.100578237142015,0.5921522861402035,20.165646380986743,0.09061038178724765
2006-08-22,377.7341,379.26,374.84,378.29,8319800.0,-10.823037749556192,-11.845070139624852,1.0220323900686594,35.119177782637294,0.1749224777350325
2006-08-21,378.1,379.0,375.22,377.3,8038500.0,-10.241687588884588,-11.5243936294768,1.2827060405922115,41.2747365715755,0.2033646073711598
